Station Name, Latitude, Longitude
Cenrana Hub, -4.365592, 120.312292
Anak Ratu Aji Hub, -4.941922, 104.939751
Tubbi Taramanu Hub, -3, 119
Toili 3 Hub, -1, 122
Tanjunganom 3 Hub, -7.642841, 111.989936
Tambak Banyumas Hub, -7.615292, 109.383822
Sungai Lilin 2 Hub, -2.461931, 103.969116
Sumberlawang Hub, -7.327703, 110.866573
Sukalarang Hub, -6.891112, 107.000154
Sobang Hub, -6.658595, 106.363728
Sinembah Tanjung Muda Hulu Hub, 3, 98
Setiabudi 4 Hub, -6.216362, 106.822873
Sekupang 2 Hub, 1, 103
Saronggi Hub, -7.079306, 113.817361
Sangatta 4 Hub, 0.533713, 117.50259
Samboja (Semboja) 2 Hub, -1.014412, 117.031647
Salam Babaris Hub, -3.046512, 115.18184
Sabbang Hub, -2, 120
Ranah Batahan Hub, 0.383438, 99.467578
Purworejo 2 Hub, -7.669192, 112.903754
Purwodadi Musi Rawas Hub, -3.146361, 102.951382
Pulau Laut Utara 2 Hub, -3.258471, 116.207312
Posigadan Hub, 0.322262, 123.57589
Pontianak 2 Hub, -0.060042, 109.312292
Pinang Belapis Hub, -3, 102
Pilangkenceng Hub, -7.512284, 111.635065
Pematang Tiga Hub, -3.611002, 102.229367
Pelepat Hub, -1, 102
Pasir Limau Kapas 2 Hub, 2, 100
Parung Panjang 2 Hub, -6.340899, 106.568465
Pangalengan 2 Hub, -7.201328, 107.59157
Pahandut 2 Hub, -2.230985, 113.931587
Pagar Gunung Hub, -3, 103
Pacet Kutorejo Hub, -7.625197, 112.543319
Muara Telang Hub, -2.631575, 104.899661
Muara Pawan Hub, -1, 110
Matraman Hub, -6.193756, 106.866506
Marpoyan Damai 2 Hub, 0.503578, 101.435227
Luhak Nan Duo Hub, 0.054013, 99.817367
Lolayan Hub, 0.672063, 124.275798
Limun 2 Hub, -2, 102
Limapuluh Batubara Hub, 3, 99
Leuwigoong Hub, -7.095878, 107.958497
Lembang 2 Hub, -3.5331, 119.527567
Leles 2 Hub, -7.322797, 107.064353
Lebakbarang Hub, -7, 109
Kutawaluya Hub, -6.156416, 107.327926
Kutambaru Hub, 3, 98
Krejengan Hub, -7.8421, 113.434506
Kota Banjar 2 Hub, -7.374373, 108.518662
Kelapa Gading 2 Hub, -6.180993, 106.911749
Kedurang Ilir Hub, -4.476355, 103.045861
Karangpawitan Hub, -7.198178, 107.948907
Kandangserang Hub, -7, 109
Jombang Kota Cilegon Hub, -6.013459, 106.059608
Jatiluhur 2 Hub, -6.532377, 107.417804
Indralaya Utara Hub, -3.242978, 104.669735
Gaung Hub, -0.088198, 103.15308
Gandrungmangu Hub, -7.503289, 108.832729
Enok 2 Hub, -0.516881, 103.102155
Cluring Hub, -8.423398, 114.237084
Cijambe Hub, -6.61355, 107.728983
Bukik Barisan Hub, -0.099208, 100.462573
Bua Hub, -3.078547, 120.229591
Baroko Hub, -3.275345, 119.81033
Banyuputih Kab. Situbondo Hub, -7.754397, 114.249459
Banjaran 3 Hub, -7.087387, 107.562725
Banawa Selatan Hub, -0.791196, 119.65571
Amandraya Hub, 0.752412, 97.669891
Alang-Alang Lebar 2 Hub, -2.927432, 104.714489
Sidoarjo EHub, -7, 112
Pakis Malang 2 First Mile Hub, -7, 112
Kalideres 34 First Mile Hub, -6, 106
Ciputat 6 First Mile Hub, -6.302906, 106.743614
Cempaka Putih 3 First Mile Hub, -6.186779, 106.866346
Tegalwaru Purwakarta First Mile Hub, -6.672583, 107.356722
Penjaringan 39 First Mile Hub, -6.128202, 106.741173
Gunung Guruh First Mile Hub, -6.935502, 106.899302
Cikancung 2 First Mile Hub, -7.012968, 107.80424
Cibeunying Kidul 2 First Mile Hub, -6.906043, 107.648014
Tanjunganom 3 First Mile Hub, -7.642841, 111.989936
Taman Sari 12 First Mile Hub, -6.153639, 106.826181
Taman Madiun 2 First Mile Hub, -7.649587, 111.519956
Sumberlawang First Mile Hub, -7.327703, 110.866573
Sukalarang First Mile Hub, -6.891112, 107.000154
Setu Bekasi 2 First Mile Hub, -6.350676, 107.030502
Pilangkenceng First Mile Hub, -7.512284, 111.635065
Percut Sei Tuan 4 First Mile Hub, 3, 98
Neglasari 5 First Mile Hub, -6, 106
Mejayan 2 First Mile Hub, -7.552835, 111.7091
Leuwigoong First Mile Hub, -7.095878, 107.958497
Kota Banjar 2 First Mile Hub, -7.374373, 108.518662
Kelapa Gading First Mile Hub, -6, 106
Karangjati First Mile Hub, -7, 111
Jatiluhur 2 First Mile Hub, -6.532377, 107.417804
Ibun 2 First Mile Hub, -7.088456, 107.760284
Gunung Maligas First Mile Hub, 3, 99
Gandrungmangu First Mile Hub, -7.503289, 108.832729
Beji Kota Depok 2 First Mile Hub, -6.377106, 106.81359
MH 1 Bayung Lencir Hub, -2.07075, 103.679694
MH 1 Nengah Bulik Hub, -2.193972, 111.515833
MH 2 Kampar Kiri Hub, 0.035959, 101.20804
MH 2 Torue Hub, -0.986584, 120.337805
MH 1 Torue Hub, -0.986584, 120.337805
MH 1 Gedung Meneng Hub, -4.394389, 105.648917
MH 1 Sesayap Hub, 3.60256, 116.914374
MH 1 Tapin Utara Hub, -2.947556, 115.157861
MH 1 Sei Sungai Kakap Hub, -0.062942, 109.254112
MH 1 Sandai 3 Hub, -1.222797, 110.533303
MH 3 Bengkayang Hub, 0.83116, 109.485616
MH 1 Tolangohula Hub, 0.701186, 122.561103
Wanareja 2 Hub, -7.333361, 108.674722
Wajo 2 Hub, -5.125111, 119.418
Tiang Pumpung Kepungut Hub, -3.293304, 103.058782
Tabir Ulu Hub, -1.914855, 102.235903
Sutera Hub, -1.582995, 100.649275
Situraja Hub, -6.847312, 107.966299
Senduro Hub, -8.095711, 113.089612
Sekernan 2 Hub, -1.38827, 103.479644
Putra Rumbia Hub, -4.809861, 105.587111
Poso Pesisir Hub, -1.424468, 120.658537
Percut Sei Tuan 5 Hub, 3.644359, 98.716683
Nongsa 2 Hub, 1.062045, 104.12261
Mesuji Raya Hub, -3.787546, 105.004537
Kerkap Hub, -3.524161, 102.264217
Keban Agung Hub, -3.675725, 102.657812
Ciwaringin Hub, -6.670639, 108.388917
Ciracap Hub, -7.337401, 106.525831
Budong Budong Hub, -2.09264, 119.240199
Beringin Deli Serdang Hub, 3.603528, 98.862056
Bathin II Babeko Hub, -1.482081, 102.197126
Wanareja 2 First Mile Hub, -7.333361, 108.674722
Marpoyan Damai 2 First Mile Hub, 0.503578, 101.435227
Ciwaringin First Mile Hub, -6.670639, 108.388917
Ciracap First Mile Hub, -7.337401, 106.525831
Badung 2 DC, -8.571873, 115.174278
SBS Lampung DC, -5.410192, 105.306363
Cakung 6 DC, -6.179904, 106.922246
